ObjectID,Name,OriginID,Destinatio,Destinat_1,Total_tota,Total_BusL,Total_time
10716,STORE-65 - STORE-77,65,77,28,4.91820681731,7.67841072708,0.49182068451
10759,STORE-65 - STORE-78,65,78,71,11.41365652160,8.85343997787,1.14136565547
10727,STORE-65 - STORE-79,65,79,39,7.11263847214,7.63428630146,0.71126384532
10845,STORE-65 - STORE-80,65,80,157,77.28890011510,9.60775304649,7.72889004853
10844,STORE-65 - STORE-81,65,81,156,76.62350119190,9.60775304649,7.66235015621
10755,STORE-65 - STORE-82,65,82,67,10.32783536750,8.48426171177,1.03278352720
10756,STORE-65 - STORE-83,65,83,68,10.44756453490,8.48426171177,1.04475645640
10760,STORE-65 - STORE-84,65,84,72,11.46273046400,8.91045011454,1.14627304714
10729,STORE-65 - STORE-85,65,85,41,7.35837431427,8.48426171177,0.73583742588
10768,STORE-65 - STORE-86,65,86,80,14.76297731480,9.06696465579,1.47629772189
10772,STORE-65 - STORE-87,65,87,84,15.71165479220,9.60775304649,1.57116549796
10773,STORE-65 - STORE-88,65,88,85,17.13273042140,8.48426171177,1.71327303039
10751,STORE-65 - STORE-89,65,89,63,9.96423556508,8.48426171177,0.99642354507
10752,STORE-65 - STORE-90,65,90,64,9.96423556508,8.48426171177,0.99642354507
10742,STORE-65 - STORE-91,65,91,54,8.67085753593,8.48426171177,0.86708574470
10824,STORE-65 - STORE-92,65,92,136,60.87403224700,19.54308254980,6.08740306583
10841,STORE-65 - STORE-93,65,93,153,74.80245419420,19.54308254980,7.48024526341
10826,STORE-65 - STORE-94,65,94,138,62.00764370420,19.54308254980,6.20076422585
10827,STORE-65 - STORE-95,65,95,139,62.11358098220,19.54308254980,6.21135794111
10811,STORE-65 - STORE-96,65,96,123,57.81314472930,19.54308254980,5.78131433038
10836,STORE-65 - STORE-97,65,97,148,67.83226159270,19.54308254980,6.78322601441
10837,STORE-65 - STORE-98,65,98,149,67.83226159270,19.54308254980,6.78322601441
10832,STORE-65 - STORE-99,65,99,144,63.15982583390,19.54308254980,6.31598245418
10831,STORE-65 - STORE-100,65,100,143,62.97041266780,19.54308254980,6.29704113757
10838,STORE-65 - STORE-101,65,101,150,68.25676532230,19.54308254980,6.82567639793
10843,STORE-65 - STORE-102,65,102,155,75.00126381570,19.54308254980,7.50012624003
10839,STORE-65 - STORE-103,65,103,151,73.11989969040,19.54308254980,7.31198982840
10847,STORE-65 - STORE-104,65,104,159,80.20801466300,19.54308254980,8.02080133443
10852,STORE-65 - STORE-105,65,105,164,88.40438974640,19.54308254980,8.84043881773
10851,STORE-65 - STORE-106,65,106,163,86.54861340340,19.54308254980,8.65486118758
10848,STORE-65 - STORE-107,65,107,160,81.84310300830,19.54308254980,8.18431014973
10850,STORE-65 - STORE-108,65,108,162,83.99700643920,19.54308254980,8.39970051674
10855,STORE-65 - STORE-109,65,109,167,107.48863435300,19.54308254980,10.74886335100
10854,STORE-65 - STORE-110,65,110,166,98.69282662600,19.54308254980,9.86928260415
10834,STORE-65 - STORE-111,65,111,146,65.20020257730,19.54308254980,6.52002013158
10842,STORE-65 - STORE-112,65,112,154,74.86703439970,19.54308254980,7.48670333248
10840,STORE-65 - STORE-113,65,113,152,73.23723938330,19.54308254980,7.32372379784
10835,STORE-65 - STORE-114,65,114,147,65.50558983700,19.54308254980,6.55055885800
10774,STORE-65 - STORE-115,65,115,86,17.84832000350,19.54308254980,1.78483197360
10776,STORE-65 - STORE-116,65,116,88,19.51899256870,15.87659831540,1.95189925203
10733,STORE-65 - STORE-117,65,117,45,7.99220228345,14.87833069400,0.79922022887
10734,STORE-65 - STORE-118,65,118,46,8.18054911544,15.75424429930,0.81805491135
10761,STORE-65 - STORE-119,65,119,73,13.08987887930,14.30210258920,1.30898787789
10766,STORE-65 - STORE-120,65,120,78,14.12970952490,15.75263829190,1.41297094400
10769,STORE-65 - STORE-121,65,121,81,14.78232584310,14.30210258920,1.47823257202
10746,STORE-65 - STORE-122,65,122,58,9.42791424267,14.30210258920,0.94279141674
10738,STORE-65 - STORE-123,65,123,50,8.40969349854,16.06767711080,0.84096935017
10758,STORE-65 - STORE-124,65,124,70,11.26586775500,19.54308254980,1.12658677172
10785,STORE-65 - STORE-125,65,125,97,29.87704910470,19.48350029970,2.98770493551
10741,STORE-65 - STORE-126,65,126,53,8.52465709867,15.72340476690,0.85246570828
10747,STORE-65 - STORE-127,65,127,59,9.50199465949,17.97940233410,0.95019946736
10736,STORE-65 - STORE-128,65,128,48,8.23885874218,15.72340476690,0.82388587374
10798,STORE-65 - STORE-129,65,129,110,51.50884331430,19.54308254980,5.15088417242
10810,STORE-65 - STORE-130,65,130,122,57.72223045500,19.54308254980,5.77222290605
